"Month","Date","Hour","Minute","Electric Cooling K W Hourly ","Electric Refrigeration K W Hourly ","Electric Heating K W Hourly ","Lights Others K W Hourly "
1,1,1,0,20.5,30.5,10.5,5
1,1,2,0,21.5,31.5,11.5,6
2,"","","",22.5,32.5,12.5,7
3,"","","",23.5,33.5,13.5,8
4,"","","",24.5,34.5,14.5,9
1,"","","",25.5,35.5,15.5,10
5,"","","",26.5,36.5,16.5,11
2,"","","",27.5,37.5,17.5,12
6,"","","",28.5,38.5,18.5,13
2,"","","",29.5,39.5,19.5,14
5,"","","",30.5,40.5,20.5,15
3,"","","",31.5,41.5,21.5,16
7,"","","",32.5,42.5,22.5,17
9,"","","",33.5,43.5,23.5,18
7,"","","",34.5,44.5,24.5,19
4,"","","",35.5,45.5,25.5,20
2,"","","",36.5,46.5,26.5,21
5,"","","",37.5,47.5,27.5,22
7,"","","",38.5,48.5,28.5,23
